class	prop	rdf	-*- tab-width: 32 -*-
Country	altName	gn:alternateName
Country	ancestorPlace	gn:parentFeature
Country	countryCode	gn:countryCode
Country	featureClass	gn:featureClass
Country	featureCode	gn:featureCode
Country	gn:name	gn:name
Country	lat	wgs84:lat
Country	long	wgs84:long
Country	parentCountry	gn:parentCountry
Country	parentRegion	gn:parentADM1
Country	population	gn:population
Dataset	byteSize	dcat:byteSize
Dataset	date	dct:date
Dataset	downloadURL	dcat:downloadURL
Dataset	entities	void:entities
Dataset	fileName	cg:fileName
Dataset	ident	skos:notation
Dataset	mediaType	dcat:mediaType
Dataset	properties	void:properties
Dataset	task	cg:task
Dataset	title	dct:title
Dataset	triples	void:triples
Event	address	cg:address
Event	country	cg:country
Event	created	dct:created
Event	dateEnd	cg:dateEnd
Event	dateStart	cg:date
Event	description	dct:description
Event	descriptionLong	cg:descriptionLong
Event	eventType	cg:eventType
Event	ident	skos:notation
Event	identifier	adms:identifier
Event	isCluster	cg:isCluster
Event	language	schema:availableLanguage
Event	modified	dct:modified
Event	source	dct:source
Event	title	dct:title
EventAppearance	address	cg:address
EventAppearance	appearanceType	cg:appearanceType
EventAppearance	country	cg:country
EventAppearance	created	dct:created
EventAppearance	description	dct:description
EventAppearance	descriptionLong	cg:descriptionLong
EventAppearance	event	cg:event
EventAppearance	ident	skos:notation
EventAppearance	identifier	adms:identifier
EventAppearance	isCluster	cg:isCluster
EventAppearance	language	schema:availableLanguage
EventAppearance	modified	dct:modified
EventAppearance	participant	cg:participant
EventAppearance	source	dct:source
EventAppearanceType	address	cg:address
EventAppearanceType	altLabel	skos:altLabel
EventAppearanceType	broader	skos:broader
EventAppearanceType	country	cg:country
EventAppearanceType	created	dct:created
EventAppearanceType	description	skos:description
EventAppearanceType	descriptionLong	cg:descriptionLong
EventAppearanceType	ident	skos:notation
EventAppearanceType	identifier	adms:identifier
EventAppearanceType	inScheme	skos:inScheme
EventAppearanceType	isCluster	cg:isCluster
EventAppearanceType	language	schema:availableLanguage
EventAppearanceType	modified	dct:modified
EventAppearanceType	order	cg:order
EventAppearanceType	prefLabel	skos:prefLabel
EventAppearanceType	source	dct:source
EventType	address	cg:address
EventType	altLabel	skos:altLabel
EventType	broader	skos:broader
EventType	country	cg:country
EventType	created	dct:created
EventType	description	skos:description
EventType	descriptionLong	cg:descriptionLong
EventType	ident	skos:notation
EventType	identifier	adms:identifier
EventType	inScheme	skos:inScheme
EventType	isCluster	cg:isCluster
EventType	language	schema:availableLanguage
EventType	modified	dct:modified
EventType	order	cg:order
EventType	prefLabel	skos:prefLabel
EventType	source	dct:source
ExchangeListing	address	cg:address
ExchangeListing	agent	cg:agent
ExchangeListing	amount	cg:amount
ExchangeListing	country	cg:country
ExchangeListing	created	dct:created
ExchangeListing	date	cg:date
ExchangeListing	dateEnd	cg:dateEnd
ExchangeListing	description	dct:description
ExchangeListing	descriptionLong	cg:descriptionLong
ExchangeListing	exchange	cg:exchange
ExchangeListing	ident	skos:notation
ExchangeListing	identifier	adms:identifier
ExchangeListing	isCluster	cg:isCluster
ExchangeListing	isCurrent	cg:isCurrent
ExchangeListing	language	schema:availableLanguage
ExchangeListing	modified	dct:modified
ExchangeListing	source	dct:source
ExchangeListing	stockSymbol	cg:stockSymbol
ExchangeListing	transactionType	cg:transactionType
ExchangeListing	typeText	cg:typeText
ExchangeListing	valuation	cg:valuation
ExchangeListing	valuationCurrency	cg:valuationCurrency
ExchangeListing	valuationLocal	cg:valuationLocal
Fund	address	cg:address
Fund	amountCurrency	cg:amountCurrency
Fund	amountLocal	cg:amountLocal
Fund	country	cg:country
Fund	created	dct:created
Fund	dateFounded	schema:foundingDate
Fund	description	dct:description
Fund	descriptionLong	cg:descriptionLong
Fund	founder	cg:founder
Fund	ident	skos:notation
Fund	identifier	adms:identifier
Fund	isCluster	cg:isCluster
Fund	language	schema:availableLanguage
Fund	modified	dct:modified
Fund	prefLabel	skos:prefLabel
Fund	source	dct:source
Funding	address	cg:address
Funding	agent	cg:agent
Funding	amount	cg:amount
Funding	amountCurrency	cg:amountCurrency
Funding	amountLocal	cg:amountLocal
Funding	country	cg:country
Funding	created	dct:created
Funding	date	cg:date
Funding	description	dct:description
Funding	descriptionLong	cg:descriptionLong
Funding	ident	skos:notation
Funding	identifier	adms:identifier
Funding	investor	cg:investor
Funding	investorCount	cg:investorCount
Funding	isCluster	cg:isCluster
Funding	language	schema:availableLanguage
Funding	modified	dct:modified
Funding	postMoneyValuation	cg:postMoneyValuation
